subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt
17,collect,loyalty,40,10.66818385,25,4,1,6,0.15,skip,0,1.480370976,2.304345455
17,knock,otter,37,1.148550018,26,4,0,3,0.075,,,,
17,port,cinema,60,0.681971319,27,4,0,27,0.675,,,,
17,climax,saucer,63,1.582262931,28,4,1,32,0.8,replace,0,6.212573994,8.628564656
17,mill,feast,72,0.748575292,29,4,1,36,0.9,feast,1,3.467207983,5.427198772
17,nerve,bumper,46,0.748779922,30,4,1,12,0.3,skip,0,1.86476372,2.616772488
17,date,laugh,96,1.765480308,31,4,1,38,0.95,laugh,1,1.595086586,2.803159696
17,forest,knob,57,14.71918756,32,4,0,23,0.575,,,,
17,capital,figure,61,1.04881084,33,4,1,28,0.7,income,0,2.181097955,3.061121318
17,banner,glide,39,1.515577812,34,4,1,4,0.1,skip,0,1.323937916,2.099989993
17,bacon,feud,42,2.415494164,35,4,0,9,0.225,,,,
17,find,clown,35,0.598415181,36,4,1,2,0.05,skip,0,0.984138337,1.728183558
17,fee,chowder,40,0.59849761,37,4,0,5,0.125,,,,
17,pea,bathtub,55,0.715311794,38,4,1,22,0.55,bath,0,2.161885567,2.817917707
17,pork,emperor,64,0.982111608,39,4,0,33,0.825,,,,
17,shrink,mafia,68,1.4322247,40,4,0,35,0.875,,,,
18,mill,feast,38,0.982101133,1,4,0,4,0.1,,,,
18,shrink,mafia,65,1.015332035,2,4,1,25,0.625, skip,0,11.6268449,46.30382273
18,link,crisis,90,7.35034195,3,4,0,34,0.85,,,,
18,find,clown,85,1.498712414,4,4,1,31,0.775,feature,0,8.678948417,16.51573279
18,risk,zero,100,1.198917459,5,4,1,35,0.875,crisis,0,7.130733637,10.23469852
18,bias,sirloin,13,7.467334071,6,4,1,1,0.025,sirloin,1,3.909352949,6.566389478
18,want,ascent,44,1.082037275,7,4,1,11,0.275,skip,0,26.89939609,29.42733023
18,anger,decay,40,0.798474013,8,4,1,5,0.125,skip,0,2.598789358,17.80650615
18,visit,glove,42,0.865102919,9,4,1,7,0.175,saucer,0,11.62608733,13.2900594
18,fee,chowder,33,1.015370202,10,4,0,2,0.05,,,,
18,need,faucet,72,1.148586318,11,4,0,28,0.7,,,,
18,biology,temper,60,0.898764566,12,4,1,21,0.525,temper,1,1.506955913,3.474888312
18,chicken,beet,52,2.049094713,13,4,0,18,0.45,,,,
18,remind,foam,47,2.865981408,14,4,1,13,0.325,order,0,13.093669,16.61356075
18,rock,milk,50,3.100562856,15,4,0,16,0.4,,,,
18,prison,loaf,100,1.315364333,16,4,1,37,0.925,loaf,1,2.504556183,3.608627545
18,nerve,bumper,81,1.231849437,17,4,0,30,0.75,,,,
18,replace,roach,72,0.982084134,18,4,1,27,0.675,bacon,0,6.174122497,15.50201341
18,smother,surgery,55,6.716837976,19,4,1,19,0.475,surgery,1,3.009179079,5.009141874
18,plant,worm,100,1.165568528,20,4,1,39,0.975,worm,1,2.866115475,6.16199812
18,pork,emperor,100,1.015064222,21,4,0,38,0.95,,,,
18,collect,loyalty,56,2.765727419,22,4,0,20,0.5,,,,
18,glue,force,64,2.048840692,23,4,0,24,0.6,,,,
18,port,cinema,43,2.682644552,24,4,0,8,0.2,,,,
18,fan,feature,100,1.348778053,25,4,0,40,1,,,,
18,date,laugh,44,5.333108606,26,4,0,10,0.25,,,,
